title,id,language,ontologyId,resultType,address,position,access,distance,categories,references,foodTypes,contacts,openingHours
Ardgowan National Historic Site,here:pds:place:124f85p5-c40996d446514cb289107a5e277c11ae,en,,place,"{'label': 'Ardgowan National Historic Site, 2 Palmers Ln, Charlottetown, PE C1A 5V8, Canada', 'countryCode': 'CAN', 'countryName': 'Canada', 'stateCode': 'PE', 'state': 'Prince Edward Island', 'county': 'Queens', 'city': 'Charlottetown', 'district': 'Mt Edward', 'street': 'Palmers Ln', 'postalCode': 'C1A 5V8', 'houseNumber': '2'}","{'lat': 46.25224, 'lng': -63.12719}","[{'lat': 46.25237, 'lng': -63.12728}]",13262352,"[{'id': '300-3000-0025', 'name': 'Historical Monument', 'primary': True}, {'id': '300-3000-0023', 'name': 'Tourist Attraction'}]","[{'supplier': {'id': 'core'}, 'id': '36966258'}, {'supplier': {'id': 'tripadvisor'}, 'id': '6892914'}]",,"[{'phone': [{'value': '+19025667050'}], 'www': [{'value': 'http://www.pc.gc.ca/eng/lhn-nhs/pe/ardgowan/index.aspx'}]}]",
史跡足利学校,here:pds:place:392xn7nt-1bbd612325a9ea1b219a06a03f59430b,ja,,place,"{'label': '〒326-0813 栃木県足利市昌平町2338-1 史跡足利学校', 'countryCode': 'JPN', 'countryName': '日本', 'state': '栃木県', 'city': '足利市', 'subdistrict': '昌平町', 'subblock': '2338', 'postalCode': '326-0813', 'houseNumber': '1'}","{'lat': 36.33601, 'lng': 139.4533}","[{'lat': 36.33501, 'lng': 139.45455}]",4368273,"[{'id': '300-3000-0025', 'name': '歴史的記念物', 'primary': True}, {'id': '300-3000-0023', 'name': '観光スポット'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '1311515'}]",,"[{'phone': [{'value': '+81284412655'}], 'www': [{'value': 'http://www.city.ashikaga.tochigi.jp/site/ashikagagakko'}]}]","[{'text': ['月-日: 09:00 - 16:30'], 'isOpen': True, 'structured': [{'start': 'T090000', 'duration': 'PT07H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Royal Independence Gardens,here:pds:place:116w63u5-fc6d6907920b40f39eb451d55fb9091b,en,here:cm:ontology:park_recreation_area,place,"{'label': 'Royal Independence Gardens, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.36539, 'lng': 103.85247}","[{'lat': 13.36539, 'lng': 103.85233}]",3447,"[{'id': '550-5510-0202', 'name': 'Park-Recreation Area', 'primary': True}, {'id': '550-5510-0204', 'name': 'Garden'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '549851'}]",,,"[{'text': ['Mon-Sun: 00:00 - 22:30'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT22H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Ponleu Kids,here:pds:place:116w63u5-6a3e6abadd925e739dd816f595fa3946,en,here:cm:ontology:park_recreation_area,place,"{'label': 'Ponleu Kids, 171203 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'គោកចក', 'postalCode': '171203'}","{'lat': 13.37379, 'lng': 103.8566}","[{'lat': 13.37377, 'lng': 103.85674}]",4375,"[{'id': '550-5510-0202', 'name': 'Park-Recreation Area', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '26861691'}]",,"[{'phone': [{'value': '+85577895111'}], 'www': [{'value': 'https://www.facebook.com/ponleukids'}]}]","[{'text': ['Mon-Sun: 08:30 - 17:00'], 'isOpen': True, 'structured': [{'start': 'T083000', 'duration': 'PT08H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Sabara Cooking Class & Culinary Experience,here:pds:place:116w63u4-20b05b4983054a34a35559a7b3ea9bfb,en,here:cm:ontology:park_recreation_area,place,"{'label': 'Sabara Cooking Class & Culinary Experience, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.373, 'lng': 103.8324}","[{'lat': 13.37306, 'lng': 103.83228}]",4928,"[{'id': '800-8200-0000', 'name': 'Education Facility', 'primary': True}, {'id': '550-5510-0202', 'name': 'Park-Recreation Area'}]",,,"[{'phone': [{'value': '+85563766227'}], 'www': [{'value': 'http://www.sabaraangkorresort.com/experian_/cook-class-based-on-authentic-flavor-of-khmer-and-enjoy-your-food-after-class/?fbclid=IwAR1B5FkT5KNXz5wDyytyEXt6-CvjwoHPo_z6Zw7HQRhCwPyGReW9iiwOmfw'}]}]",
Phnom Krom Eco Resort,here:pds:place:116w63gd-8927c897b88a485ea30bf1d30abb71a6,en,here:cm:ontology:park_recreation_area,place,"{'label': 'Phnom Krom Eco Resort, ផ្លូវខេត្ត 2632, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'street': 'ផ្លូវខេត្ត 2632', 'postalCode': '171209'}","{'lat': 13.2965, 'lng': 103.82638}","[{'lat': 13.29584, 'lng': 103.82754}]",5232,"[{'id': '800-8600-0000', 'name': 'Sports Facility/Venue', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}, {'id': '550-5510-0202', 'name': 'Park-Recreation Area'}]",,"[{'id': '256-000', 'name': 'Cambodian', 'primary': True}]",[{'www': [{'value': 'http://www.ecotourismsite.com'}]}],
Cambo Park Cambodia,here:pds:place:116w63gy-80060c567614885083ccc3cc60ef8a2f,en,here:cm:ontology:park_recreation_area,place,"{'label': 'Cambo Park Cambodia, 170507 ប្រាសាទបាគង, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'ប្រាសាទបាគង', 'district': 'រលួស', 'postalCode': '170507'}","{'lat': 13.32313, 'lng': 103.99036}","[{'lat': 13.32326, 'lng': 103.99038}]",14709,"[{'id': '550-5510-0202', 'name': 'Park-Recreation Area', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '26536633'}]",,[{'phone': [{'value': '+85517753346'}]}],"[{'text': ['Mon-Sun: 00:00 - 23:30'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT23H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Sunset Spot & Picnic Tours,here:pds:place:116httek-b8c14db152980789d1867be26deaf4d7,en,here:cm:ontology:park_recreation_area,place,"{'label': 'Sunset Spot & Picnic Tours, ផ្លូវខេត្ត 267, 170612 ពួក, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'ពួក', 'district': 'សំរោងយា', 'street': 'ផ្លូវខេត្ត 267', 'postalCode': '170612'}","{'lat': 13.40857, 'lng': 103.73311}","[{'lat': 13.40859, 'lng': 103.73325}]",15541,"[{'id': '550-5510-0202', 'name': 'Park-Recreation Area', 'primary': True}]",,,"[{'phone': [{'value': '+85512221672'}], 'www': [{'value': 'http://www.sunset-picnic.com'}]}]",
Krousar Cafe,here:pds:place:116w63gg-f52e022313c145bea77e77c877a011ec,en,here:cm:ontology:coffee,place,"{'label': 'Krousar Cafe, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34356, 'lng': 103.86169}","[{'lat': 13.34356, 'lng': 103.86168}]",1247,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '18844588'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '304-000', 'name': 'Italian'}, {'id': '800-083', 'name': 'Natural/Healthy'}]","[{'phone': [{'value': '+855968525097'}], 'www': [{'value': 'http://www.facebook.com/krousarcafe'}]}]","[{'text': ['Mon-Sun: 07:00 - 22:00'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT15H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Wine O'Clock - Cafe & Deli Bar - 24hours,here:pds:place:116w63gg-5e9becb03ba640039677223938ae1f3e,en,here:cm:ontology:coffee,place,"{'label': ""Wine O'Clock - Cafe & Deli Bar - 24hours, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា"", 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34594, 'lng': 103.86021}","[{'lat': 13.34599, 'lng': 103.86029}]",1397,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}, {'id': '200-2000-0011', 'name': 'Bar or Pub'}]",,,[{'phone': [{'value': '+855966669440'}]}],
Ry Ma Coffee,here:pds:place:116w63gg-f08c72b6839d43d89a22b7b6dc0b7968,en,here:cm:ontology:coffee,place,"{'label': 'Ry Ma Coffee, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34632, 'lng': 103.85993}","[{'lat': 13.34639, 'lng': 103.86005}]",1424,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,,"[{'phone': [{'value': '+85512495304'}], 'www': [{'value': 'http://ryma-cafe.business.site'}]}]",
Sala Kitchen,here:pds:place:116w63gg-484583f2545a427ca1eb11474d0482d2,en,here:cm:ontology:coffee,place,"{'label': 'Sala Kitchen, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.33596, 'lng': 103.86823}","[{'lat': 13.33606, 'lng': 103.86832}]",1449,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '14011743'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}]","[{'phone': [{'value': '+85581906466'}], 'www': [{'value': 'http://www.facebook.com/travellerskitchensiemreap'}]}]",
Club House Pet Playground & Cafe,here:pds:place:116w63gg-35b6298d3f3625dca7263656ac7d6d1f,en,here:cm:ontology:coffee,place,"{'label': 'Club House Pet Playground & Cafe, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34761, 'lng': 103.85637}","[{'lat': 13.34774, 'lng': 103.85633}]",1468,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '27155204'}]",,"[{'phone': [{'value': '+85595840959'}], 'www': [{'value': 'https://linktr.ee/clubhousepetplaygroundcafe'}]}]","[{'text': ['Mon-Sun: 08:00 - 20:00'], 'isOpen': True, 'structured': [{'start': 'T080000', 'duration': 'PT12H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Ur Cafe,here:pds:place:116w63gg-0059be746d0e7c396692c958ec34a4cf,en,here:cm:ontology:coffee,place,"{'label': 'Ur Cafe, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34794, 'lng': 103.85455}","[{'lat': 13.34794, 'lng': 103.85455}]",1497,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,,,
Tavoos Cafe,here:pds:place:116w63gg-16eb0cb28b8e468b93882adb488f207c,en,here:cm:ontology:coffee,place,"{'label': 'Tavoos Cafe, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34832, 'lng': 103.84981}","[{'lat': 13.34819, 'lng': 103.84985}]",1635,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '13292843'}]","[{'id': '800-064', 'name': 'International', 'primary': True}, {'id': '800-083', 'name': 'Natural/Healthy'}]","[{'phone': [{'value': '+855963753273'}], 'www': [{'value': 'http://www.tavoosgarden.com'}]}]","[{'text': ['Mon-Fri: 07:00 - 22:00', 'Sat: 07:00 - 21:00'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT15H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}, {'start': 'T070000', 'duration': 'PT14H00M', 'recurrence': 'FREQ:DAILY;BYDAY:SA'}]}]"
The Secret Dog Cafe,here:pds:place:116w63gg-83b464ad2a26426aa16f349604e6c763,en,here:cm:ontology:coffee,place,"{'label': 'The Secret Dog Cafe, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.3466, 'lng': 103.84617}","[{'lat': 13.34673, 'lng': 103.84619}]",1647,"[{'id': '100-1000-0001', 'name': 'Casual Dining', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}, {'id': '100-1000-0009', 'name': 'Fast Food'}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '19692493'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-050', 'name': 'Fast Food'}]","[{'phone': [{'value': '+85510325800'}], 'www': [{'value': 'http://thesecretdogcafe.com'}]}]",
Heartprint Hub,here:pds:place:116w63gg-83484feecf338c7f9e60f94bbfe28e50,en,here:cm:ontology:coffee,place,"{'label': 'Heartprint Hub, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.34593, 'lng': 103.84417}","[{'lat': 13.34596, 'lng': 103.84431}]",1724,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '23952925'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '150-000', 'name': 'Australian'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '304-000', 'name': 'Italian'}, {'id': '308-000', 'name': 'British Isles'}]","[{'phone': [{'value': '+85586338989'}], 'www': [{'value': 'http://heartprint.org.au/heartprint-hub'}]}]","[{'text': ['Mon-Sat: 07:30 - 15:30'], 'isOpen': True, 'structured': [{'start': 'T073000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA'}]}]"
Cafe Roly Poly,here:pds:place:116w63gg-49b495ce0e124e069ccc72d9c2fdd947,en,here:cm:ontology:coffee,place,"{'label': 'Cafe Roly Poly, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.35016, 'lng': 103.85536}","[{'lat': 13.35021, 'lng': 103.85523}]",1744,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '13393846'}]",,"[{'phone': [{'value': '+85512226300'}], 'www': [{'value': 'http://cafe-roly-poly.business.site'}]}]","[{'text': ['Mon, Thu-Sun: 09:00 - 19:00'], 'isOpen': True, 'structured': [{'start': 'T090000', 'duration': 'PT10H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TH,FR,SA,SU'}]}]"
"The Muffin Man, Siem Reap",here:pds:place:116w63gg-0d657ebd76341d2daf26f878ba24128b,en,here:cm:ontology:coffee,place,"{'label': 'The Muffin Man, Siem Reap, ផ្លូវ សោមបៃ, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវ សោមបៃ', 'postalCode': '171204'}","{'lat': 13.34645, 'lng': 103.86538}","[{'lat': 13.34658, 'lng': 103.86539}]",1747,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '21390545'}]",,"[{'phone': [{'value': '+855966259033'}], 'www': [{'value': 'http://www.facebook.com/The-Muffin-Man-SIEM-REAP-104127234280458'}]}]","[{'text': ['Mon-Sun: 07:00 - 21:00'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT14H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Samai Cafe & Bar,here:pds:place:116w63gg-def87c6e087948abb17b875c5cf86d4a,en,here:cm:ontology:coffee,place,"{'label': 'Samai Cafe & Bar, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.35028, 'lng': 103.85746}","[{'lat': 13.35041, 'lng': 103.85751}]",1778,"[{'id': '100-1000-0009', 'name': 'Fast Food', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}, {'id': '200-2000-0011', 'name': 'Bar or Pub'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '16733388'}]","[{'id': '101-002', 'name': 'American - Southwestern', 'primary': True}, {'id': '200-000', 'name': 'Asian'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-050', 'name': 'Fast Food'}]","[{'phone': [{'value': '+85592297333'}], 'www': [{'value': 'https://www.facebook.com/Samai-Cafe-Bar-383607449105358'}]}]","[{'text': ['Mon: 09:00 - 24:00', 'Tue, Thu-Sun: 06:00 - 12:00', 'Wed: 06:00 - 24:00'], 'isOpen': False, 'structured': [{'start': 'T090000', 'duration': 'PT15H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO'}, {'start': 'T060000', 'duration': 'PT06H00M', 'recurrence': 'FREQ:DAILY;BYDAY:TU,TH,FR,SA,SU'}, {'start': 'T060000', 'duration': 'PT18H00M', 'recurrence': 'FREQ:DAILY;BYDAY:WE'}]}]"
Cafe Soriya,here:pds:place:116w63gg-9259750e37e44c2f95e21989b33912ce,en,here:cm:ontology:coffee,place,"{'label': 'Cafe Soriya, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.34524, 'lng': 103.84256}","[{'lat': 13.34524, 'lng': 103.8427}]",1794,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '19269307'}]","[{'id': '101-002', 'name': 'American - Southwestern', 'primary': True}, {'id': '800-064', 'name': 'International'}, {'id': '800-066', 'name': 'Fusion'}, {'id': '800-075', 'name': 'Seafood'}]","[{'phone': [{'value': '+85569900123'}], 'www': [{'value': 'http://cafesoriya.com'}]}]","[{'text': ['Tue-Sun: 07:00 - 20:00'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT13H00M', 'recurrence': 'FREQ:DAILY;BYDAY:TU,WE,TH,FR,SA,SU'}]}]"
The Lemon Café,here:pds:place:116w63gg-cbc08c769a244e31a93c82df5cdfab0a,en,here:cm:ontology:coffee,place,"{'label': 'The Lemon Café, ផ្លូវខេត្ត 267, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវខេត្ត 267', 'postalCode': '171202'}","{'lat': 13.35016, 'lng': 103.8509}","[{'lat': 13.35026, 'lng': 103.85081}]",1797,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]",,"[{'id': '256-000', 'name': 'Cambodian', 'primary': True}]",,
Street Three Eatery Siem Reap,here:pds:place:116w63gg-f404e8c3edb7e6c2eb05ba207bb00c1d,en,here:cm:ontology:coffee,place,"{'label': 'Street Three Eatery Siem Reap, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.35081, 'lng': 103.8556}","[{'lat': 13.35086, 'lng': 103.85547}]",1817,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}, {'id': '200-2000-0011', 'name': 'Bar or Pub'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '26846258'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '150-000', 'name': 'Australian'}, {'id': '800-066', 'name': 'Fusion'}]",[{'phone': [{'value': '+85581271503'}]}],"[{'text': ['Mon: 08:00 - 21:30', 'Wed-Sun: 10:00 - 18:00'], 'isOpen': True, 'structured': [{'start': 'T080000', 'duration': 'PT13H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO'}, {'start': 'T100000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:WE,TH,FR,SA,SU'}]}]"
Roots Cafe & Gallery,here:pds:place:116w63gg-a70e462be2c74a6b8e74027e52125566,en,here:cm:ontology:coffee,place,"{'label': 'Roots Cafe & Gallery, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34987, 'lng': 103.86092}","[{'lat': 13.34982, 'lng': 103.86105}]",1830,"[{'id': '100-1000-0009', 'name': 'Fast Food', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '16678658'}]","[{'id': '800-064', 'name': 'International', 'primary': True}, {'id': '101-000', 'name': 'American'}, {'id': '212-000', 'name': 'Filipino'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-050', 'name': 'Fast Food'}]","[{'phone': [{'value': '+85561856199'}], 'www': [{'value': 'http://rootscafeandgallery.com'}]}]","[{'text': ['Wed-Sun: 11:00 - 14:30, 17:30 - 21:00'], 'isOpen': True, 'structured': [{'start': 'T110000', 'duration': 'PT03H30M', 'recurrence': 'FREQ:DAILY;BYDAY:WE,TH,FR,SA,SU'}, {'start': 'T173000', 'duration': 'PT03H30M', 'recurrence': 'FREQ:DAILY;BYDAY:WE,TH,FR,SA,SU'}]}]"
Vietnamese Coffee & Noodle Soup,here:pds:place:116w63gg-a80d2cdd62974fadace08f599b9bbfc0,en,here:cm:ontology:coffee,place,"{'label': 'Vietnamese Coffee & Noodle Soup, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34924, 'lng': 103.86259}","[{'lat': 13.34919, 'lng': 103.86272}]",1839,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]",,"[{'id': '800-080', 'name': 'Soup', 'primary': True}]",[{'phone': [{'value': '+855889822268'}]}],
Satcha Café,here:pds:place:116w63gg-79c08b7d39f98bac9a7f6bf9482ea702,en,here:cm:ontology:coffee,place,"{'label': 'Satcha Café, ផ្លូវខេត្ត 267, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវខេត្ត 267', 'postalCode': '171202'}","{'lat': 13.34683, 'lng': 103.84335}","[{'lat': 13.34695, 'lng': 103.84328}]",1858,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '26728020'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}]",[{'phone': [{'value': '+855973732865'}]}],"[{'text': ['Mon-Sun: 08:00 - 18:00'], 'isOpen': True, 'structured': [{'start': 'T080000', 'duration': 'PT10H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
